市区町村コード,筆数合計,公共座標の筆数,任意座標の筆数,数字以外で始まる地番の筆数
17324,28426,7501,14096,6829
17343,1,0,1,0
17344,4493,18,6,4469
17361,235120,12876,191910,30334
17365,23251,12888,9186,1177
17384,242314,103328,101284,37702
17386,130877,36778,69518,24581
17407,136721,32860,83527,20334
17461,172945,258,152133,20554
17463,278448,9949,225308,43191
18201,753038,117125,513757,122156
18202,194139,16892,136622,40625
18204,168569,9414,123400,35755
18205,240257,33218,160177,46862
18206,180729,11206,124332,45191
18207,191863,20766,142657,28440
18208,152693,32071,95510,25112
18209,341279,23547,251345,66387
18210,284039,47020,182227,54792
18322,100497,10075,68936,21486
18382,79910,1493,58852,19565
18404,147300,23260,86937,37103
18423,193318,9229,141220,42869
18442,70328,10261,43767,16300
18481,69589,4284,50085,15220
18483,67231,26702,25017,15512
18501,124606,39968,58060,26578
19201,268549,178841,56508,33200
19202,90365,20577,58816,10972
19204,109546,53191,38062,18293
19205,172291,134189,7211,30891
19206,160272,50526,83082,26664
19207,132165,116496,106,15563
19208,198070,172768,8134,17168
19209,389584,339997,3887,45700
19210,148081,115957,12852,19272
19211,242581,196541,13747,32293
19212,154696,27057,111567,16072
19213,142584,113174,6436,22974
19214,65126,40282,16870,7974
19346,102086,70337,18919,12830
19364,65344,0,59323,6021
19365,270592,60903,180174,29515
19366,113871,47271,43223,23377
19368,90417,52273,26634,11510
19384,28948,24046,1864,3038
19422,28221,1129,21681,5411
19423,12299,10062,40,2197
19424,21439,13267,5227,2945
19425,23911,1674,20961,1276
19429,23403,16797,5711,895
19430,78206,17138,54821,6247
19442,12734,0,11664,1070
19443,9963,0,9033,930
20201,1242971,302739,779478,160754
20202,524386,138516,330667,55203
20203,537986,116309,363905,57772
20204,119680,969,111086,7625
20205,390337,341513,21667,27157
20206,126982,1538,116085,9359
20207,147118,3025,132558,11535
20208,150409,114237,14324,21848
20209,329546,103188,184016,42342
20210,122661,13769,99143,9749
20211,209370,3288,187861,18221
20212,214334,82993,109246,22095
20213,217231,37312,155917,24002
20214,210283,23784,167638,18861
